pickup_date,vehicle_category,num_jobs
2014,Limo,57
2014,SUV6,569
2014,Sedan,754
2014,Van,26
2015,Limo,207
2015,SUV6,1832
2015,Sedan,1896
2015,Van,134
2016,Limo,404
2016,SUV6,3406
2016,Sedan,3167
2016,Van,318
2017,Limo,661
2017,SUV6,5615
2017,Sedan,4755
2017,Van,573
2018,Limo,1033
2018,SUV6,9009
2018,Sedan,7565
2018,Van,1019
2019,Limo,1495
2019,SUV6,13166
2019,Sedan,10941
2019,Van,1874
2020,Limo,1599
2020,SUV6,13963
2020,Sedan,11662
2020,Van,2149
2021,Limo,1683
2021,SUV6,14736
2021,Sedan,12434
2021,Van,2340
2022,Limo,1977
2022,SUV6,20567
2022,Sedan,18333
2022,Van,3741
2023,Limo,2255
2023,SUV4,539
2023,SUV6,27948
2023,Sedan,26634
2023,Van,5986
